"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42411","2100.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42413","2400.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42415","2700.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42417","3000.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42425","3300.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42426","3900.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42421","1500.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42400","1800.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42402","2100.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42404","2400.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42406","2700.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42408","3000.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42422","3300.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42423","3900.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42427","2100.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42429","2400.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42431","2700.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42433","3000.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42441","2100.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42443","2400.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42445","2700.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42447","3000.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42434","2100.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42436","2400.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42438","2700.0"
"175.0","19.0","mm","Haab 19x175 SMM","Haab 19x175 SMM","Haab 19x175 SMM","0.0","0.0","0.0","","","","42440","3000.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42448","2100.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42449","2400.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42450","2700.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42451","3000.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42456","2100.0"
"200.0","19.0","","Haab 19x200 SMM","Haab 19x200 SMM","Haab 19x200 SMM","0.0","0.0","0.0","","","","42457","2400.0"
